Reservoir,Date,Elevation,Temp_C,pH,DO_mgL,Turb,Color,Odor,Algae_cells_mL,Fe_mgL,Mn_mgL,Alkalinity,Hardness,CO2,TOC,Notes,Predominant_algae_organism,Reservoir_level,Withdraw_levels,Flag
CCR,10/9/99 9:00,1150,17.5,8,9.43,3.2,41,35,"1,815,000",0.07,0.07,88,98,0.9,N/A,Foggy,Micractinium,1151.3,N/A,
CCR,10/9/99 9:00,1140,16.5,8.5,9.49,3,37,24,"2,431,000",0.06,0.05,88,94,0.9,N/A,Water brown,Synedra,1151.3,N/A,
CCR,10/9/99 9:00,1130,16.5,7.9,6.46,4.1,46,35,"1,320,000",0.09,0.08,86,94,0.5,N/A,No withdrawal level,Ulothrix,1151.3,N/A,
CCR,10/9/99 9:00,1120,16,7.9,4.96,4.3,58,35,"1,254,000",0.12,0.09,76,98,0.9,N/A,No information for elevation 1160,Cyclotella and Dinobryon,1151.3,N/A,
CCR,10/9/99 9:00,1110,14,7.6,3.36,5.3,119,24,"330,000",2.5,>0.77,94,94,0.7,N/A,"Raw odor for 9/27, 10/01, and 10/04 written on the bottom",Scenedesmus and Phacus,1151.3,N/A,
CCR,10/20/99,1160,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cloudy,Anacystis ,1151.8,N/A,
CCR,10/20/99,1150,16.5,7.5,9.09,2.9,44,50,"3,630,000",0.06,0.09,94,104,1,N/A,Cool temperatures,Ulothrix,1151.8,N/A,
CCR,10/20/99,1150,16.5,8,8,3.3,42,35,"2,244,000",0.06,0.08,96,104,0.7,N/A,Brown water,Synedra,1151.8,N/A,
CCR,10/20/99,1130,15,8,7.94,2.8,49,24,"2,959,000",0.07,0.09,92,96,0.7,N/A,No information for elevation 1160,Asterionella,1151.8,N/A,
CCR,10/20/99,1120,15,7.8,6.17,3.5,59,17,"2,618,000",0.08,0.15,90,96,0.5,N/A,No withdrawal level,Scenedesmus ,1151.8,N/A,
CCR,10/20/99,1110,14,7.5,3.85,4.1,99,35,"957,000",1.6,>0.77,96,100,0.5,N/A,"Additional information at the bottom of the sheet pertaining to raw odor data for 10/28, 10/22, and 10/25",,1151.8,N/A,
CCR,9/22/99 9:05,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sunny,Anacystis,N/A,1130/1140,
CCR,9/22/99 9:05,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Cold, breezy",Ulothrix,N/A,1130/1140,
CCR,9/22/99 9:05,1140,19,7.2,8.7,4.1,48,24,"1,078,000",0.1,0.08,86,106,0.8,N/A,Brown water,Dinobryon,N/A,1130/1140,
CCR,9/22/99 9:05,1130,17,7.7,8.6,4.4,54,50,"2,310,000",0.13,0.08,87,96,0.5,N/A,No reservoir level,Synedra,N/A,1130/1140,
CCR,9/22/99 9:05,1120,16.5,7.5,5,5,63,24,"1,375,000",0.16,0.17,86,106,1,N/A,No information for elevation 1160 and 1150,Spirogyra,N/A,1130/1140,
CCR,9/22/99 9:05,1110,14,7.1,3.7,5.7,122,50,"2,002,000",3.33,2.54,98,98,0.8,N/A,Additional information at the bottom of the sheet pertaining to raw odor data for 9/17 and 9/24,,N/A,1130/1140,
CCR,9/8/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No water for 1160 and 1150,Anacystis,N/A,N/A,
CCR,9/8/99,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No reservoir or withdrawl levels, and no remarks",Fragilaria,N/A,N/A,
CCR,9/8/99,1140,23.5,8.2,8.6,3,24,17,"2,222,000",0.08,0.06,88,98,0.9,N/A,"Additional information of raw data for 9/3, 9/10, and 9/13 on the bottom",Ulothrix,N/A,N/A,
CCR,9/8/99,1130,21.5,7.6,5,10.4,96,17,"1,331,000",0.23,0.13,96,94,1.4,N/A,N/A,Coelastrum,N/A,N/A,
CCR,9/8/99,1120,18,7.3,3.8,14.8,136,24,"9,515,000",0.26,2.35,84,94,1,N/A,N/A,N/A,N/A,N/A,
CCR,9/8/99,1110,16.5,7.4,2.6,10.7,151,35,"7,172,000",2.49,2.41,98,103,2,N/A,N/A,N/A,N/A,N/A,
CCR,8/11/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Warm, hazy skies",Anacystis,1142.8 (27.2 low),N/A,
CCR,8/11/99,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No breeze,Synedra,1142.8 (27.2 low),N/A,
CCR,8/11/99,1140,25,7.9,7.7,4,55,35,"9,768,000",0.12,0.06,86,100,1,N/A,Brown water,Ulothrix,1142.8 (27.2 low),N/A,
CCR,8/11/99,1130,23,8.3,7.1,4.2,61,35,"5,137,000",0.14,0.09,88,92,0.8,N/A,No information for 1160 and 1150 and they have no water,Scenedesmus,1142.8 (27.2 low),N/A,
CCR,8/11/99,1120,18,7.2,4.3,5.3,80,50,"9,999,000",0.41,0.77,84,90,1,N/A,"Raw odor data below for 8/6, 8/9, 8/13, and 8/16",Anabaena,1142.8 (27.2 low),N/A,
CCR,8/11/99,1110,15,7.3,2.7,6,97,35,"1,518,000",1.9,0.77,80,96,0.5,N/A,No withdrawal level,Peridinium,1142.8 (27.2 low),N/A,
CCR,8/18/99 8:50,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brown water,Anacystis,1141.9 (28.1 low),N/A,
CCR,8/18/99 8:50,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hazy with no breeze,Synedra,1141.9 (28.1 low),N/A,
CCR,8/18/99 8:50,1140,27,7.9,6.6,2.6,27,35,"8,096,000",0.07,0.08,90,98,1.6,N/A,No withdrawal level,Scenedesmus,1141.9 (28.1 low),N/A,
CCR,8/18/99 8:50,1130,25.5,7.6,6.5,4.1,38,24,"11,396,000",0.11,0.1,84,94,1,N/A,No information for elevations 1160 and 1150 (no water),Ulothrix,1141.9 (28.1 low),N/A,
CCR,8/18/99 8:50,1120,19.5,7.6,3.7,3.9,61,35,"8,107,000",0.33,0.67,86,96,0.8,N/A,Additional information of raw odor for 8/20 and 8/23 on the bottom,Dinobryon,1141.9 (28.1 low),N/A,
CCR,8/18/99 8:50,1110,18,7.2,2.9,10.4,164,50,"1,529,000",0.59,0.77,84,90,0.6,N/A,Brown water,Anabaena and Oscillatoria,1141.9 (28.1 low),N/A,
CCR,8/27/99 8:30,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cool with light breeze,Anacystis,1141.3 (28.7 low),N/A,
CCR,8/27/99 8:30,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clear skies,Dinobryon,1141.3 (28.7 low),N/A,
CCR,8/27/99 8:30,1140,24,7.9,8.9,2.6,39,35,"7,689,000",0.09,0.12,84,92,0.8,N/A,No information for elevation 1160 and 1150 (no water),Synedra,1141.3 (28.7 low),N/A,
CCR,8/27/99 8:30,1130,24,7.9,8.7,2.6,43,35,"7,238,000",0.1,0.15,88,98,1.4,N/A,No withdrawal level,Ulothrix,1141.3 (28.7 low),N/A,
CCR,8/27/99 8:30,1120,20.5,7.4,6.4,6,66,50,"7,469,000",0.2,0.77,88,92,1.25,N/A,Additional information of raw odor for 8/30 on the bottom,Asterionella ,1141.3 (28.7 low),N/A,
CCR,8/27/99 8:30,1110,16.5,7.2,2.5,7.3,136,50,"5,500,000",2.7,0.77,88,102,0.5,N/A,N/A,N/A,1141.3 (28.7 low),N/A,
CCR,7/28/99 8:45,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sunny, clean, hot",Anacystis,N/A,"1130, 1140",
CCR,7/28/99 8:45,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brown water,Mallomonas,N/A,"1130, 1140",
CCR,7/28/99 8:45,1140,28.5,8.5,4.8,2.8,33,24,"1,859,000",0.1,0.05,80,96,1,N/A,No information for elevation 1160 and 1150 (no water),Fragilaria,N/A,"1130, 1140",
CCR,7/28/99 8:45,1130,24,7.7,2.7,3.7,47,35,"3,850,000",0.13,0.13,86,94,1,N/A,Odors (#) --> refers to an index?,Ulothrix,N/A,"1130, 1140",
CCR,7/28/99 8:45,1120,20,7.4,1.5,5.1,60,35,"4,950,000",0.21,0.77,86,92,1.2,N/A,No reservoir level ,,N/A,"1130, 1140",
CCR,7/28/99 8:45,1110,18,7.4,1.6,6.3,98,12,"2,068,000",1.55,1.36,90,92,1.5,N/A,Additional information for raw odor for 7/23 and 7/30,,N/A,"1130, 1140",
CCR,7/15/99 8:30,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sunny, a few clouds, warm",Anacystis,24.8 ft low,1130/1140,
CCR,7/15/99 8:30,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brown water,Ulothrix,24.8 ft low,1130/1140,
CCR,7/15/99 8:30,1140,24,8,11.02,2.1,25,35,"5,764,000",0.06,0.03,89,94,7.6,N/A,Odor detected at dam,,24.8 ft low,1130/1140,
CCR,7/15/99 8:30,1130,21,7.4,3.54,3,37,35,"3,685,000",0.1,0.29,89,90,5,N/A,No information for elevation 1160 and 1150 (no water),,24.8 ft low,1130/1140,
CCR,7/15/99 8:30,1120,17.5,7.2,6.64,7.9,84,50,"8,195,000",0.34,0.66,86,97,5.2,N/A,"Additional information for raw odor for 7/9, 7/12, and 7/16",,24.8 ft low,1130/1140,
CCR,7/15/99 8:30,1110,16.5,7.4,3.26,4.4,59,35,"8,679,000",0.95,1.5,89,92,3.2,N/A,N/A,N/A,24.8 ft low,1130/1140,
CCR,6/30/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brown water,Anacystis,1146.6,1130/1140,
CCR,6/30/99,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Overcast day,Uroglenopsis,1146.6,1130/1140,
CCR,6/30/99,1140,25.5,8.3,7.02,2.3,39,12,"3,679,000",0.08,0.051,90,98,7.6,N/A,No information for elevation 1160 and 1150 (no water),Mallomonas,1146.6,1130/1140,
CCR,6/30/99,1130,20,7.3,4.73,3,55,17,"1,936,000",0.126,0.134,83,94,8,N/A,"Additional information for raw odor for 6/21, 6/28, and 7/02",Ulothrix,1146.6,1130/1140,
CCR,6/30/99,1120,17.5,7.2,4.07,9.2,96,35,"4,400,000",0.387,0.377,86,90,6,N/A,N/A,N/A,1146.6,1130/1140,
CCR,6/30/99,1110,17.5,7.5,2.42,3.8,69,24,"3,223,000",0.505,1.236,87,93,5,N/A,N/A,N/A,1146.6,1130/1140,
CCR,6/16/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Cool, breezy, and cloudy",Anacystis,1148,"1130, 1140",
CCR,6/16/99,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Water pale yellow,Dinobryon,1148,"1130, 1140",
CCR,6/16/99,1140,24.5,7.5,7.8,2.7,34,12,"5,731,000",0.08,0.04,84,94,4.4,N/A,No information for elevation 1160 and 1150 (no water),Navicula,1148,"1130, 1140",
CCR,6/16/99,1130,19,7.5,4.5,4.5,43,17,"6,462,500",0.13,0.16,84,94,3,N/A,"Additional information for raw odor for 6/11, 6/14, and 6/18",Ulothrix,1148,"1130, 1140",
CCR,6/16/99,1120,16,7.2,2.72,20.5,176,100,"22,861,666",0.5,0.29,80,90,3.2,N/A,N/A,Asterionella,1148,"1130, 1140",
CCR,6/16/99,1110,17,7.5,4.33,3.1,33,24,"3,212,000",0.15,0.37,80,90,2.5,N/A,N/A,N/A,1148,"1130, 1140",
CCR,6/2/99,1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,No information for elevation 1160 (no water),Dinobryon,20.2 low,1130 and 1140,
CCR,6/2/99,1150,22.5,7.42,8.77,4.23,57,35,"165,000",0.11,0.04,88,94,3.5,N/A,"Additional information for 5/28, 6/4, and 6/7",Anacystis,20.2 low,1130 and 1140,
CCR,6/2/99,1140,22.5,6.98,8.81,4.45,54,17,"110,000",0.12,0.04,84,90,3.9,N/A,N/A,Asterionella,20.2 low,1130 and 1140,
CCR,6/2/99,1130,17,7.49,3.64,3.34,43,24,"275,000",0.08,0.11,82,90,3.3,N/A,N/A,Cyclotella,20.2 low,1130 and 1140,
CCR,6/2/99,1120,15.5,8.42,5.38,11.5,127,24,"467,000",0.35,0.32,78,86,7,N/A,N/A,Fragilaria and Ulothrix,20.2 low,1130 and 1140,
CCR,6/2/99,1110,15,9.49,4.88,5.15,73,17,"132,000",0.17,0.51,82,86,4.5,N/A,N/A,Cymbella and Scenedesmus,20.2 low,1130 and 1140,
CCR,5/19/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Water green,Asterionella,N/A,1130/1140,
CCR,5/19/99,1150,21,8.4,6.62,2.6,29,24,"46,200",0.07,0.03,77,86,1.5,N/A,Breezy and clear,Synedra,N/A,1130/1140,
CCR,5/19/99,1140,21,8.4,2.75,2.7,38,35,"24,200",0.07,0.04,80,88,2,N/A,No information for elevation level 1160,Fragilaria,N/A,1130/1140,
CCR,5/19/99,1130,20.5,7.6,8.36,2.4,30,35,"78,000",0.07,0.07,82,89,4,N/A,No reservoir level found,"*One more algae, but I can't read the name ",N/A,1130/1140,I can't read the name of the predominant algae
CCR,5/19/99,1120,16,7.1,9.64,4.5,67,17,"149,000",0.17,0.23,77,86,4.5,N/A,I can't read the name of one of the alage,N/A,N/A,1130/1140,
CCR,5/19/99,1110,14,7.3,9.87,4.3,52,17,"121,100",0.27,0.65,76,82,3.4,N/A,Additional informationof raw data for 5/21 and 5/28,N/A,N/A,1130/1140,
CCR,5/7/99 8:55,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Green with pollen on top,Dinobryon,1152,1130/1140,
CCR,5/7/99 8:55,1150,18,8.5,12.45,3.8,42,35,"88,000",0.09,0.04,78,85,2,N/A,"Cloudy, midday",Fragilaria,1152,1130/1140,
CCR,5/7/99 8:55,1140,17.5,8.4,12.48,3.3,38,35,"107,000",0.09,0.04,85,90,2.4,N/A,Very low water,*Can't read the rest,1152,1130/1140,I can't read some predominant algae 
CCR,5/7/99 8:55,1130,16.5,8.1,11,3.6,28,50,"60,500",0.08,0.05,82,89,2.8,N/A,Can't read the rest of the algae,N/A,1152,1130/1140,
CCR,5/7/99 8:55,1120,15,7.9,9.61,5.4,32,35,"89,833",0.12,0.14,80,86,3,N/A,"Additional information for raw data for 5/10, 5/14, and 5/19",N/A,1152,1130/1140,
CCR,5/7/99 8:55,1110,14,7.7,7.9,5.2,42,35,"96,250",0.2,0.34,76,87,3.6,N/A,No information for elevation level 1160,N/A,1152,1130/1140,
CCR,4/14/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Clear, sunny, cold",N/A,N/A,N/A,
CCR,4/14/99,1150,16,8.2,10.04,4,45,24,"489,500",0.12,0.05,70,86,6,N/A,Green water,Synedra,N/A,N/A,
CCR,4/14/99,1140,13.5,8.2,10.15,4.3,47,24,"324,000",0.11,0.05,72,86,5.8,N/A,No reservoir ir withdrawal levels recorded,Ulothrix,N/A,N/A,
CCR,4/14/99,1130,12.5,8.1,10.09,4.2,48,17,"352,000",0.12,0.05,72,84,4.6,N/A,No information for elevation level 1160,Asterionella,N/A,N/A,
CCR,4/14/99,1120,11.5,7.9,9.53,5.7,61,24,"561,000",0.18,0.09,70,86,5.8,N/A,N/A,Anacystis and Tabellaria,N/A,N/A,
CCR,4/14/99,1110,11,7.8,8.74,5.5,67,17,"341,000",0.22,0.15,70,84,5,N/A,N/A,Dinobryon and Glypt,N/A,N/A,
CCR,3/31/99 8:30,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clean water; green water,N/A,N/A,"1140, 1117",
CCR,3/31/99 8:30,1150,10.5,7.8,8.78,3.6,48,24,"1,292,500",0.12,N/A,66,N/A,4.8,N/A,No information for elevation for level 1160,N/A,N/A,"1140, 1117",
CCR,3/31/99 8:30,1140,9.5,7.7,8.74,3.4,38,35,"1,188,000",0.11,0.05,68,76,4.2,N/A,Two temperatures recorded for temperature,N/A,N/A,"1140, 1117",
CCR,3/31/99 8:30,1130,9,7.8,8.65,3.5,38,35,"1,182,000",0.11,0.05,69,78,3.6,N/A,Magnesium and hardness covered for elevation level 1150 ,N/A,N/A,"1140, 1117",
CCR,3/31/99 8:30,1120,9,7.9,8.83,5.3,61,17,"1,512,000",0.22,0.07,70,75,4.2,N/A,No reservoir level and predominant algae,N/A,N/A,"1140, 1117",
CCR,3/31/99 8:30,1110,9,7.8,8.63,3.8,49,35,"929,000",0.15,0.08,70,75,3.4,N/A,"Additional information for raw odor for 4/2, 4/5, and 4/9",N/A,N/A,"1140, 1117",
CCR,3/18/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,"566,500",N/A,N/A,N/A,N/A,N/A,N/A,"Warm, clear, windy, green water",Ankistrodesmus,N/A,1117 + 1130,
CCR,3/18/99,1150,9,7.4,9.49,2.8,31,35,"467,000",0.12,0.06,60,70,5.2,N/A,Blowoff at 900,Ulothrix,N/A,1117 + 1130,
CCR,3/18/99,1140,8,7.7,9.5,2.8,28,35,"544,000",0.15,0.06,62,72,4.8,N/A,No reservoir level,Asterionella and Diatoma,N/A,1117 + 1130,
CCR,3/18/99,1130,8,7.7,9.7,3,29,35,N/A,0.12,0.06,58,67,4.4,N/A,No information for elevation for level 1160,Gomphosphaeria and Dinobryon,N/A,1117 + 1130,
CCR,3/18/99,1120,7,7.7,9.66,3.2,37,35,"599,500",0.13,0.07,59,74,4.4,N/A,"Additional information for raw odor for 3/19, 3/22, 3/26",Anacystis and Synedra,N/A,1117 + 1130,
CCR,3/18/99,1110,7,7.7,9.62,4.5,44,35,"522,000",0.21,0.08,70,74,3.6,N/A,"Two temperatures listed for 1150, 1140, and 1120",Fragilaria and Cyclotella,N/A,1117 + 1130,
CCR,3/11/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Clean, windy, very cold",Asterionella ,N/A,"1117, 1120",
CCR,3/11/99,1150,6,7.8,9.51,3.2,42,42.8,"572,000",0.12,0.07,62,72,4.8,N/A,Brown water,Synedra,N/A,"1117, 1120",
CCR,3/11/99,1140,5.5,7.7,9.53,2.9,38,41.9,"346,000",0.12,0.06,62,70,4.4,N/A,No reservoir level,Oscillatoria and Anabaena,N/A,"1117, 1120",
CCR,3/11/99,1130,5,7.7,7.91,3,38,41,"192,000",0.12,0.07,62,70,4.6,N/A,No information for 1160,Spirogyra and Anacystis,N/A,"1117, 1120",
CCR,3/11/99,1120,5.5,7.7,9.16,3.7,37,41.9,"319,000",0.13,0.07,64,69,4,N/A,N/A,Ankistrodesmus and Cyclotella,N/A,"1117, 1120",
CCR,3/11/99,1110,5,7.8,8.6,3.2,37,41,"242,000",0.13,0.07,62,74,3.4,N/A,N/A,Ulothrix and Gomphosphaeria,N/A,"1117, 1120",
CCR,3/3/99 10:45,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brown water,Anacystis,1149,1120 & 1117,
CCR,3/3/99 10:45,1150,7.5,7.3,10.23,3.1,32,N/A,"192,000",0.12,0.07,58,69,4.6,N/A,"Cloudy, rainy, windy",Spirogyra,1149,1120 & 1117,
CCR,3/3/99 10:45,1140,7,7.6,10.01,3,35,> 24,"324,000",0.12,0.07,60,70,5,N/A,No information for elevation 1160,Fragilaria ,1149,1120 & 1117,
CCR,3/3/99 10:45,1130,7,7.4,10.69,2.9,33,24,"242,000",0.13,0.07,62,68,4.2,N/A,N/A,Asterionella,1149,1120 & 1117,
CCR,3/3/99 10:45,1120,6.5,7.6,9.37,3.6,41,> 17,"275,000",0.15,0.07,60,68,2.8,N/A,N/A,Synedra and Ulothrix,1149,1120 & 1117,
CCR,3/3/99 10:45,1110,6.5,7.6,9.35,3.4,38,> 17,"313,000",0.15,0.07,62,66,2.2,N/A,N/A,Tabellaria and Cyclotella,1149,1120 & 1117,
CCR,2/3/99 8:40,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Clear, sunny, breezy",Asterionella,N/A,1140 & 1130,
CCR,2/3/99 8:40,1150,6.5,7.6,N/A,7.2,63,N/A,"176,000",0.21,0.09,54,60,7.8,N/A,"Brown water, very low levels",Synedra,N/A,1140 & 1130,
CCR,2/3/99 8:40,1140,6.5,7.6,N/A,14.7,97,N/A,"357,000",0.34,0.13,52,60,8.2,N/A,No reservoir level,Dinobryon ,N/A,1140 & 1130,
CCR,2/3/99 8:40,1130,6.5,7.7,N/A,5.9,53,N/A,"148,000",0.16,0.09,54,60,4.2,N/A,No odor information,Cyclotella,N/A,1140 & 1130,
CCR,2/3/99 8:40,1120,6.5,7.8,N/A,5.8,57,N/A,"143,000",0.17,0.09,52,62,3.2,N/A,"No DO, membrane on DO probe busted",Oscillatoria,N/A,1140 & 1130,
CCR,2/3/99 8:40,1110,6,7.6,N/A,5.9,56,N/A,"104,500",0.17,0.09,52,60,3,N/A,N/A,Fragilaria and Chlorella,N/A,1140 & 1130,
CCR,1/7/99,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Breezy day,Anacystis,N/A,1140 & 1130,
CCR,1/7/99,1150,5,7.2,11.65,2.4,35,35,N/A,0.12,0.1,44,54,6.6,N/A,Brown water,Cyclotella,N/A,1140 & 1130,
CCR,1/7/99,1140,5,7.4,12.1,2.4,33,35,N/A,0.12,0.1,43,58,5.4,N/A,Odor written on bottom - assumed for all levels,Oscillatoria,N/A,1140 & 1130,
CCR,1/7/99,1130,5,7.5,10.54,2.3,40,35,N/A,0.13,0.11,46,57,5,N/A,No information elevation level for 1160,Syendra,N/A,1140 & 1130,
CCR,1/7/99,1120,5,7.5,9.95,6,81,35,N/A,0.48,0.17,47,56,2.8,N/A,No algae cells recorded,,N/A,1140 & 1130,
CCR,1/7/99,1110,5,7.5,9.87,2.5,40,35,N/A,0.18,0.13,48,56,2.6,N/A,No reservoir level recorded,,N/A,1140 & 1130,
CCR,12/3/98 9:15,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brown water,Anacystis,11,N/A,
CCR,12/3/98 9:15,1150,11,7.2,9.55,2.7,47,N/A,"341,000",0.13,0.19,52,56,7.4,N/A,"Low water level, warm temp",Dinobryon ,11,N/A,
CCR,12/3/98 9:15,1140,11,7.3,9.82,3,49,N/A,"231,000",0.14,0.19,48,52,7.2,N/A,I can't read the last algal name,Syendra,11,N/A,
CCR,12/3/98 9:15,1130,10.5,7.4,9.92,3,53,N/A,"214,000",0.14,0.2,50,54,6.2,N/A,No withdrawal level and no odor for the elevations ,Ulothrix,11,N/A,
CCR,12/3/98 9:15,1120,10.5,7.4,10.36,3.2,48,N/A,"264,000",0.17,0.22,50,54,6,N/A,Additional odor information available for 11/30 and 12/01,Spirogyra and Fragillaria,11,N/A,
CCR,12/3/98 9:15,1110,10.5,7.3,10.15,3.4,50,N/A,"258,000",0.17,0.23,50,58,3.6,N/A,No information elevation level for 1160,Cyclotella,11,N/A,
CCR,11/5/98 9:00,1160,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,Brown dirty water,Anacystis,1155,1140 & 1130,
CCR,11/5/98 9:00,1150,10.5,7.5,9.45,2,25,N/A ,"22,000",0.06,0.07,46,52,3.4,N/A ,Clear cold breezy,Oscillatoria,1155,1140 & 1130,
CCR,11/5/98 9:00,1140,10,7.5,9.57,1.9,33,N/A ,"8,800",0.07,0.07,49,55,3.2,N/A ,No information elevation level for 1160,Syendra,1155,1140 & 1130,
CCR,11/5/98 9:00,1130,10,7.5,9.54,2.1,35,N/A ,"126,000",0.08,0.08,52,50,3,N/A ,No odor for the elevation,Fragilaria,1155,1140 & 1130,
CCR,11/5/98 9:00,1120,8,7,3.94,7.4,92,N/A ,"957,000",0.92,13.8,48,54,3,N/A ,"Raw odor information available for 11/5, 10/30, 11/4",Dinobryon ,1155,1140 & 1130,
CCR,11/5/98 9:00,1110,8,7.1,8.78,4.8,85,N/A ,"952,000",2,13.6,49,52,3,N/A ,Copper data for the elevations,Ceratium,1155,1140 & 1130,
